index,Country,Province,Lat,Long,Death2022101,Death2021101,Death2023101,Death2021601,Death2022601,Death2023601,Death20211201,Death20221201,Death20231201
1,Afghanistan,,33.93911,67.709953,7356,2201,7849,2244,7367,7850,2301,7376,7854
2,Albania,,41.1533,20.1683,3217,1181,3595,1217,3228,3596,1252,3253,3596
3,Algeria,,28.0339,1.6596,6284,2762,6881,2786,6318,6881,2816,6372,6881
4,Andorra,,42.5063,1.5218,140,84,165,84,141,165,86,141,165
5,Angola,,-11.2027,17.8739,1772,405,1930,413,1799,1930,422,1842,1930
6,Antarctica,,-71.9499,23.347,0,5,0,5,119,0,5,120,0
7,Antigua and Barbuda,,17.0608,-61.7964,119,43319,146,43976,117386,146,44848,117670,146
8,Argentina,,-38.4161,-63.6167,117181,2828,130124,2890,7993,130171,2941,8014,130249
9,Armenia,Australian Capital Territory,40.0691,45.0382,7975,3,8716,3,15,8716,3,16,8716
10,Australia,New South Wales,-35.4735,149.0124,15,54,138,54,700,142,54,797,148
11,Australia,Northern Territory,-33.8688,151.2093,669,0,5804,0,1,5881,0,1,5993
12,Australia,Queensland,-12.4634,130.8456,1,6,84,6,8,87,6,17,87
13,Australia,South Australia,-27.4698,153.0251,7,4,2405,4,10,2449,4,30,2526
14,Australia,Tasmania,-34.9285,138.6007,6,13,1155,13,13,1170,13,13,1203
15,Australia,Victoria,-42.8821,147.3272,13,820,224,820,1565,229,820,1639,229
16,Australia,Western Australia,-37.8136,144.9631,1537,9,6405,9,9,6490,9,9,6639
17,Australia,,-31.9505,115.8605,9,7564,837,7907,16912,856,8269,16978,856
18,Austria,,47.5162,14.5501,16845,2670,21443,2818,8422,21482,2941,8480,21546
19,Azerbaijan,,40.1431,47.5769,8365,171,10008,175,717,10013,175,717,10037
20,Bahamas,,25.025885,-78.035889,717,352,833,353,1395,833,356,1397,833
21,Bahrain,,26.0275,50.55,1394,7576,1539,7687,28097,1539,7819,28111,1539
22,Bangladesh,,23.685,90.3563,28076,7,29440,7,264,29440,7,267,29441
23,Barbados,,13.1939,-59.5432,262,1433,568,1480,5669,568,1535,5757,569
24,Belarus,Antwerp,53.7098,27.9534,5594,0,7118,0,0,7118,0,0,7118
25,Belgium,Brussels,51.2195,4.4024,0,0,0,0,0,0,0,0,0
26,Belgium,East Flanders,50.8503,4.3517,0,0,0,0,0,0,0,0,0
27,Belgium,Flemish Brabant,51.0362,3.7373,0,0,0,0,0,0,0,0,0
28,Belgium,Hainaut,50.9167,4.5833,0,0,0,0,0,0,0,0,0
29,Belgium,Liege,50.5257,4.0621,0,0,0,0,0,0,0,0,0
30,Belgium,Limburg,50.4496,5.8492,0,0,0,0,0,0,0,0,0
31,Belgium,Luxembourg,50.9739,5.342,0,0,0,0,0,0,0,0,0
32,Belgium,Namur,50.0547,5.4677,0,0,0,0,0,0,0,0,0
33,Belgium,Unknown,50.331,4.8221,0,19581,0,19883,28446,0,20194,28566,0
34,Belgium,Walloon Brabant,,,28331,0,33228,0,0,33395,0,0,33478
35,Belgium,West Flanders,50.4,4.35,0,0,0,0,0,0,0,0,0
36,Belgium,,51.0536,3.1458,0,248,0,260,605,0,277,607,0
37,Belize,,17.1899,-88.4976,602,44,688,44,161,688,46,162,688
38,Benin,,9.3077,2.3158,161,0,163,0,3,163,1,3,163
39,Bhutan,,27.5142,90.4336,3,9175,21,9287,19848,21,9454,20103,21
40,Bolivia,,-16.2902,-63.5887,19680,4086,22305,4211,13568,22315,4373,13696,22326
41,Bosnia and Herzegovina,,43.9159,17.6791,13442,42,16227,45,2475,16234,59,2497,16241
42,Botswana,Acre,-22.3285,24.6849,2444,796,2794,814,1852,2794,827,1854,2795
43,Brazil,Alagoas,-9.0238,-70.812,1851,2496,2040,2529,6383,2040,2577,6389,2041
44,Brazil,Amapa,-9.5713,-36.782,6383,926,7196,950,2023,7213,981,2028,7222
45,Brazil,Amazonas,0.902,-52.003,2022,5295,2165,5500,13838,2166,5810,13851,2166
46,Brazil,Bahia,-3.4168,-65.8561,13836,9159,14418,9304,27538,14420,9480,27628,14421
47,Brazil,Ceara,-12.5797,-41.7007,27507,10004,31230,10062,24823,31280,10175,24852,31313
48,Brazil,Distrito Federal,-5.4984,-39.3206,24806,4263,28067,4328,11112,28075,4375,11123,28081
49,Brazil,Espirito Santo,-15.7998,-47.8645,11108,5093,11838,5231,13337,11838,5384,13360,11838
50,Brazil,Goias,-19.1834,-40.3089,13330,6805,14964,6901,24699,14980,7007,24741,14990
51,Brazil,Maranhao,-15.827,-49.8362,24695,4506,27766,4537,10384,27824,4575,10402,27854
52,Brazil,Mato Grosso,-4.9609,-45.2744,10377,4530,11034,4619,14069,11036,4708,14114,11039
53,Brazil,Mato Grosso do Sul,-12.6819,-56.9211,14057,2360,15015,2486,9733,15033,2609,9747,15047
54,Brazil,Minas Gerais,-20.7722,-54.7852,9729,12001,10903,12211,56683,10924,12750,56755,10944
55,Brazil,Para,-18.5122,-44.555,56659,7209,64447,7263,17108,64577,7349,17203,64657
56,Brazil,Paraiba,-1.9981,-54.9306,17092,3680,18953,3755,9600,18983,3836,9612,18991
57,Brazil,Parana,-7.24,-36.782,9597,7993,10525,8233,40900,10536,8885,40927,10537
58,Brazil,Pernambuco,-25.2521,-52.0215,40889,9666,45718,9731,20473,45792,9889,20527,45846
59,Brazil,Piaui,-8.8137,-36.9541,20454,2848,22579,2882,7283,22595,2922,7305,22606
60,Brazil,Rio Grande do Norte,-7.7183,-42.7289,7275,3009,8027,3081,7577,8036,3140,7587,8045
61,Brazil,Rio Grande do Sul,-5.4026,-36.9541,7572,8917,8689,9226,36460,8693,9619,36502,8695
62,Brazil,Rio de Janeiro,-30.0346,-51.2177,36444,25600,41508,26068,69513,41597,26976,69553,41646
63,Brazil,Rondonia,-22.9068,-43.1729,69472,1822,76508,1875,6745,76545,1951,6778,76597
64,Brazil,Roraima,-11.5057,-63.5806,6737,787,7399,793,2078,7406,800,2078,7414
65,Brazil,Santa Catarina,-2.7376,-62.0751,2078,5270,2180,5482,20198,2180,5707,20243,2180
66,Brazil,Sao Paulo,-27.2423,-50.2189,20188,46775,22583,47511,155242,22615,48662,155464,22615
67,Brazil,Sergipe,-23.5505,-46.6333,155213,2492,177411,2532,6059,177693,2595,6062,177740
68,Brazil,Tocantins,-10.5741,-37.3857,6057,1239,6482,1257,3944,6490,1286,3956,6495
69,Brazil,,-10.1753,-48.2982,3939,3,4208,3,98,4212,3,98,4216
70,Brunei,,4.5353,114.7277,98,7604,225,7961,31375,225,8279,31838,225
71,Bulgaria,,42.7339,25.4858,30983,85,38108,89,333,38122,92,339,38136
72,Burkina Faso,,12.2383,-1.5616,318,2697,395,2785,19284,395,2878,19297,396
73,Burma,,21.9162,95.956,19272,2,19490,2,38,19490,2,38,19490
74,Burundi,,-3.3731,29.9189,38,113,38,113,358,38,115,368,38
75,Cabo Verde,,16.5388,-23.0418,352,0,412,0,3015,412,0,3015,412
76,Cambodia,,11.55,104.9167,3012,448,3056,448,1851,3056,451,1853,3056
77,Cameroon,Alberta,3.848,11.5021,1851,1046,1965,1193,3336,1965,1345,3367,1965
78,Canada,British Columbia,53.9333,-116.5765,3310,901,5351,962,2430,5415,1019,2455,5443
79,Canada,Diamond Princess,53.7267,-127.6476,2423,1,4806,1,1,4896,1,1,4961
80,Canada,Grand Princess,,,1,0,1,0,0,1,0,0,1
81,Canada,Manitoba,,,0,667,0,705,1408,0,748,1429,0
82,Canada,New Brunswick,53.7609,-98.8139,1392,9,2331,9,169,2331,11,174,2369
83,Canada,Newfoundland and Labrador,46.5653,-66.4619,160,4,635,4,20,635,4,23,740
84,Canada,Northwest Territories,53.1355,-57.6604,19,0,288,0,12,288,0,12,295
85,Canada,Nova Scotia,64.8255,-124.8457,12,65,22,65,111,22,65,115,22
86,Canada,Nunavut,44.682,-63.7443,111,1,674,1,4,674,1,4,689
87,Canada,Ontario,70.2998,-83.1076,4,4581,7,4767,10272,7,5053,10445,7
88,Canada,Prince Edward Island,51.2538,-85.3232,10206,0,15538,0,0,15633,0,0,15717
89,Canada,Quebec,46.5107,-63.4168,0,8388,82,8624,11846,82,8886,12080,83
90,Canada,Repatriated Travellers,52.9399,-73.5491,11732,0,17692,0,0,17728,0,0,17789
91,Canada,Saskatchewan,,,0,155,0,174,961,0,204,961,0
92,Canada,Yukon,52.9399,-106.4509,955,1,1781,1,15,1781,1,15,1800
93,Canada,,64.2823,-135,15,63,32,63,101,32,63,106,32
94,Central African Republic,,6.6111,20.9394,101,104,113,105,184,113,108,185,113
95,Chad,Antofagasta,15.4542,18.7322,184,585,194,586,1289,194,597,1295,194
96,Chile,Araucania,-23.6509,-70.3975,1286,311,1924,316,1563,1928,344,1565,1935
97,Chile,Arica y Parinacota,-38.9489,-72.3311,1561,225,2851,227,546,2856,232,546,2863
98,Chile,Atacama,-18.594,-69.4785,546,113,881,114,383,883,115,384,887
99,Chile,Aysen,-27.5661,-70.0503,381,15,699,15,99,701,18,99,704
100,Chile,Biobio,-45.9864,-73.7669,98,802,211,826,2856,213,896,2871,214
101,Chile,Coquimbo,-37.4464,-72.1416,2842,299,4728,303,1100,4737,312,1107,4750
102,Chile,Los Lagos,-29.959,-71.3389,1096,263,1909,269,1522,1913,289,1536,1916
103,Chile,Los Rios,-41.9198,-72.1416,1514,93,2521,102,728,2525,111,732,2529
104,Chile,Magallanes,-40.231,-72.3311,724,233,1379,233,508,1381,242,509,1386
105,Chile,Maule,-52.368,-70.9863,508,556,768,568,1869,768,595,1872,771
106,Chile,Metropolitana,-35.5183,-71.6885,1865,10813,3278,10889,19962,3281,10992,19979,3291
107,Chile,Nuble,-33.4376,-70.6505,19946,218,30469,221,678,30511,231,678,30564
108,Chile,OHiggins,-36.7226,-71.7622,676,588,1287,594,1631,1289,608,1635,1295
109,Chile,Tarapaca,-34.5755,-71.0022,1630,287,2792,291,830,2794,305,832,2802
110,Chile,Unknown,-19.9232,-69.5132,829,1,1157,1,0,1159,1,0,1160
111,Chile,Valparaiso,,,0,1258,2,1261,3643,2,1294,3650,2
112,Chile,Anhui,-33.0472,-71.6127,3638,6,6344,6,6,6359,6,6,6368
113,China,Beijing,31.8257,117.2264,6,9,7,9,9,7,9,9,7
114,China,Chongqing,40.1824,116.4142,9,6,20,6,6,20,6,6,20
115,China,Fujian,30.0572,107.874,6,1,9,1,1,11,1,1,11
116,China,Gansu,26.0789,117.9874,1,2,2,2,2,2,2,2,2
117,China,Guangdong,35.7518,104.2861,2,8,2,8,8,2,8,8,2
118,China,Guangxi,23.3417,113.4244,8,2,8,2,2,9,2,2,10
119,China,Guizhou,23.8298,108.7881,2,2,2,2,2,2,2,2,2
120,China,Hainan,26.8154,106.8748,2,6,2,6,6,2,6,6,2
121,China,Hebei,19.1959,109.7453,6,6,6,6,7,6,6,7,6
122,China,Heilongjiang,37.8957,114.9042,7,13,7,13,13,7,13,13,7
123,China,Henan,47.862,127.7615,13,22,13,22,22,16,22,22,18
124,China,Hong Kong,33.882,113.614,22,149,23,154,213,23,159,213,23
125,China,Hubei,22.3,114.2,213,4512,11869,4512,4512,12204,4512,4512,12622
126,China,Hunan,30.9756,112.2707,4512,4,4512,4,4,4515,4,4,4515
127,China,Inner Mongolia,27.6104,111.7088,4,1,4,1,1,4,1,1,4
128,China,Jiangsu,44.0935,113.9448,1,0,1,0,0,1,0,0,1
129,China,Jiangxi,32.9711,119.455,0,1,0,1,1,0,1,1,0
130,China,Jilin,27.614,115.7221,1,2,1,2,3,2,2,3,2
131,China,Liaoning,43.6661,126.1923,3,2,5,2,2,5,2,2,5
132,China,Macau,41.2956,122.6085,2,0,2,0,0,2,0,0,2
133,China,Ningxia,22.1667,113.55,0,0,47,0,0,72,0,0,106
134,China,Qinghai,37.2692,106.1655,0,0,0,0,0,0,0,0,0
135,China,Shaanxi,35.7452,95.9956,0,3,0,3,3,0,3,3,0
136,China,Shandong,35.1917,108.8701,3,7,5,7,7,5,7,7,5
137,China,Shanghai,36.3427,118.1498,7,7,8,7,7,10,7,7,10
138,China,Shanxi,31.202,121.4491,7,0,595,0,0,595,0,0,595
139,China,Sichuan,37.5777,112.2922,0,3,0,3,3,1,3,3,1
140,China,Tianjin,30.6171,102.7103,3,3,8,3,3,12,3,3,12
141,China,Tibet,39.3054,117.323,3,0,3,0,0,3,0,0,3
142,China,Unknown,31.6927,88.0924,0,3,0,3,0,0,3,0,0
143,China,Xinjiang,,,0,2,0,2,3,0,2,3,0
144,China,Yunnan,41.1129,85.2401,3,1,3,1,2,3,1,2,3
145,China,Zhejiang,24.974,101.487,2,125,2,126,1,2,128,1,4
146,China,Amazonas,29.1832,120.0934,1,4817,1,4965,259,1,5180,260,1
147,Colombia,Antioquia,-1.4429,-71.5724,259,134,265,135,16952,265,139,17029,265
148,Colombia,Arauca,7.1986,-75.3412,16910,3443,18551,3489,486,18564,3575,489,18564
149,Colombia,Atlantico,7.0762,-70.7105,485,1107,565,1135,9752,565,1174,9759,565
150,Colombia,Bolivar,10.6966,-74.8741,9750,620,10225,651,3054,10226,699,3063,10226
151,Colombia,Boyaca,8.6704,-74.03,3051,644,3275,673,2587,3275,716,2587,3275
152,Colombia,Caldas,5.4545,-73.362,2584,9868,2882,10203,2295,2884,10743,2296,2884
153,Colombia,Capital District,5.2983,-75.2479,2293,533,2565,536,27741,2570,555,27773,2570
154,Colombia,Caqueta,4.711,-74.0721,27730,182,29932,186,945,29965,193,947,29965
155,Colombia,Casanare,0.8699,-73.8419,944,505,1041,509,941,1041,530,944,1041
156,Colombia,Cauca,5.7589,-71.5724,940,996,1025,1004,1601,1025,1024,1604,1025
157,Colombia,Cesar,2.705,-76.826,1600,169,1849,169,2567,1849,169,2571,1849
158,Colombia,Choco,9.3373,-73.6536,2561,1679,2689,1682,404,2689,1686,407,2689
159,Colombia,Cordoba,5.2528,-76.826,404,1726,429,1773,3744,429,1916,3750,429
160,Colombia,Cundinamarca,8.0493,-75.574,3742,20,3957,20,6866,3958,20,6870,3958
161,Colombia,Guainia,5.026,-74.03,6861,37,7377,37,35,7380,37,35,7380
162,Colombia,Guaviare,2.5854,-68.5247,35,1130,37,1154,97,37,1209,97,37
163,Colombia,Huila,1.0654,-73.2603,97,545,105,548,3201,105,565,3213,105
164,Colombia,La Guajira,2.5359,-75.5277,3195,1075,3583,1092,1449,3583,1121,1452,3583
165,Colombia,Magdalena,11.3548,-72.5205,1448,745,1545,759,3491,1545,789,3495,1545
166,Colombia,Meta,10.4113,-74.4057,3489,987,3654,1027,2309,3655,1096,2314,3655
167,Colombia,Narino,3.272,-73.0877,2305,2022,2601,2123,3050,2603,2224,3053,2603
168,Colombia,Norte de Santander,1.2892,-77.3579,3047,245,3391,248,4724,3391,260,4737,3391
169,Colombia,Putumayo,7.9463,-72.8988,4703,659,5182,680,719,5184,729,720,5184
170,Colombia,Quindio,0.436,-75.5277,719,760,789,808,1857,789,867,1867,789
171,Colombia,Risaralda,4.461,-75.6674,1850,39,2079,40,2278,2080,42,2287,2080
172,Colombia,San Andres y Providencia,5.3158,-75.9928,2278,2405,2502,2468,151,2503,2575,152,2503
173,Colombia,Santander,12.5567,-81.7185,151,679,156,684,7549,156,686,7567,156
174,Colombia,Sucre,6.6437,-73.6536,7525,1276,8340,1333,1628,8347,1462,1629,8347
175,Colombia,Tolima,8.814,-74.7233,1628,0,1745,0,3694,1746,0,3701,1746
176,Colombia,Unknown,4.0925,-75.1545,3692,4297,4079,4439,296,4079,4644,296,4079
177,Colombia,Valle del Cauca,,,296,12,2,13,13395,0,13,13490,0
178,Colombia,Vaupes,3.8009,-76.6413,13340,14,15378,14,17,15385,16,17,15385
179,Colombia,Vichada,0.8554,-70.812,17,10,22,13,57,22,30,58,22
180,Colombia,,4.4234,-69.2878,57,108,64,108,159,64,112,159,64
181,Comoros,,-11.6455,43.3333,157,591,161,599,369,161,625,370,161
182,Congo (Brazzaville),,-0.228,15.8277,367,2185,386,2267,1225,386,2367,1225,386
183,Congo (Kinshasa),,-4.0383,21.7587,1205,138,1462,138,7370,1462,140,7394,1462
184,Costa Rica,,9.7489,-83.7534,7353,3961,9072,4223,730,9104,4446,745,9104
185,Cote d'Ivoire,,7.54,-5.5471,718,146,831,148,12764,833,155,12983,833
186,Croatia,,45.1,15.2,12571,126,17607,135,8325,17660,154,8330,17742
187,Cuba,,21.521757,-77.781167,8323,11711,8530,12436,650,8530,13485,669,8530
188,Cyprus,,35.1264,33.4299,638,0,1258,1,36449,1262,1,36765,1262
189,Czechia,Faroe Islands,49.8175,15.473,36182,0,42134,0,15,42186,0,15,42235
190,Denmark,Greenland,61.8926,-6.9118,14,1322,28,1450,1,28,1623,2,28
191,Denmark,,71.7069,-42.6043,1,13,21,13,3333,21,13,3433,21
192,Denmark,,56.2639,9.5018,3272,61,7758,61,13,7889,61,13,7971
193,Diamond Princess,,,,13,0,13,0,189,13,0,189,13
194,Djibouti,,11.8251,42.5903,189,2416,189,2419,47,189,2427,47,189
195,Dominica,,15.415,-61.371,47,14051,74,14146,4252,74,14196,4259,74
196,Dominican Republic,,18.7357,-70.1627,4247,7687,4384,7975,33699,4384,8304,34162,4384
197,Ecuador,,-1.8312,-78.1834,33682,1327,35940,1382,21882,35940,1437,22042,35940
198,Egypt,,26.820553,30.802498,21768,86,24801,86,3826,24802,86,3828,24803
199,El Salvador,,13.7942,-88.8965,3824,3,4230,3,175,4230,6,177,4230
200,Equatorial Guinea,,1.6508,10.2679,175,234,183,261,79,183,292,84,183
201,Eritrea,,15.1794,39.7823,76,216,103,261,1945,103,319,1963,103
202,Estonia,,58.5953,25.0136,1938,1937,2854,1965,1326,2872,2004,1349,2885
203,Eswatini,,-26.5225,31.4659,1308,2,1422,2,7005,1422,2,7090,1422
204,Ethiopia,,9.145,40.4897,6947,598,7572,619,704,7572,642,721,7572
205,Fiji,,-17.7134,178.065,700,71,881,72,1790,883,74,1845,883
206,Finland,French Guiana,61.92411,25.748151,1728,114,7933,121,339,8263,124,344,8431
207,France,French Polynesia,4,-53,338,155,411,155,636,413,156,636,413
208,France,Guadeloupe,-17.6797,-149.4068,636,43,649,43,831,649,43,832,649
209,France,Martinique,16.265,-61.551,831,55,997,56,784,999,56,794,1003
210,France,Mayotte,14.6415,-61.0242,777,0,1076,0,186,1079,0,186,1085
211,France,New Caledonia,-12.8275,45.166244,185,42,187,42,281,187,42,281,187
212,France,Reunion,-20.904305,165.618042,281,0,314,0,419,314,0,435,314
213,France,Saint Barthelemy,-21.1151,55.5364,409,0,906,0,6,911,0,6,911
214,France,Saint Pierre and Miquelon,17.9,-62.8333,6,12,6,12,0,6,12,0,6
215,France,St Martin,46.8852,-56.3159,0,64399,2,0,59,2,0,59,2
216,France,Wallis and Futuna,18.0708,-63.0501,58,64,63,66197,7,63,68431,7,63
217,France,,-14.2938,-178.1165,7,124,7,66,122454,7,66,123714,7
218,France,,46.2276,2.2137,121311,2528,158385,125,290,159061,125,297,159647
219,Gabon,,-0.8037,11.6094,288,4789,306,2666,343,306,2820,344,306
220,Gambia,,13.4432,-15.3101,343,6716,372,5180,14042,372,5665,14261,372
221,Georgia,Baden-Wurttemberg,42.3154,43.3569,13850,1247,16897,7260,13173,16899,8053,13309,16909
222,Germany,Bayern,48.6616,9.3501,12955,937,18583,1390,19878,18650,1591,20054,18729
223,Germany,Berlin,48.7904,11.4979,19606,194,27549,1083,4029,27639,1335,4045,27774
224,Germany,Brandenburg,52.52,13.405,4010,632,5263,209,4761,5343,225,4830,5369
225,Germany,Bremen,52.4125,12.5316,4675,2845,6308,695,612,6346,820,613,6377
226,Germany,Hamburg,53.0793,8.8017,599,171,921,3211,2015,937,3588,2034,942
227,Germany,Hessen,53.5511,9.9937,1987,1967,3376,200,8601,3419,254,8646,3454
228,Germany,Mecklenburg-Vorpommern,50.6521,9.1624,8548,6552,11895,2122,1500,11980,2386,1544,12034
229,Germany,Niedersachsen,53.6127,12.4296,1472,1428,2661,7246,6876,2692,8181,6948,2709
230,Germany,Nordrhein-Westfalen,52.6367,9.8451,6814,432,12312,1582,20502,12504,1838,20676,12719
231,Germany,Rheinland-Pfalz,51.4332,7.6616,20282,3139,29868,467,4676,30143,555,4723,30349
232,Germany,Saarland,50.1183,7.309,4619,602,6650,3502,1257,6709,4196,1279,6745
233,Germany,Sachsen,49.3964,7.023,1244,425,2016,725,13221,2036,912,13543,2040
234,Germany,Sachsen-Anhalt,51.1045,13.2017,12822,995,16546,497,4370,16625,569,4427,16653
235,Germany,Schleswig-Holstein,51.9503,11.6923,4246,0,6127,1168,1894,6163,1409,1906,6184
236,Germany,Thuringen,54.2194,9.6961,1883,335,3308,0,6003,3361,0,6158,3385
237,Germany,Unknown,51.011,10.8453,5840,4881,8082,335,0,8141,338,0,8162
238,Germany,,,,0,0,0,5099,1313,0,5329,1336,0
239,Ghana,,7.9465,-1.0232,1298,4820,1461,1,21185,1461,1,21637,1461
240,Greece,,39.0742,21.8243,20849,81,34779,4899,200,34779,5080,201,34779
241,Grenada,,12.1165,-61.679,200,45,238,81,16114,238,81,16128,238
242,Guatemala,,15.7835,-90.2308,16108,164,20002,45,397,20010,45,403,20042
243,Guinea,,9.9456,-9.6966,391,236,466,166,149,466,170,150,466
244,Guinea-Bissau,,11.8037,-15.1804,149,0,176,236,1064,176,238,1075,176
245,Guyana,,4.860416,-58.93018,1054,3160,1286,0,780,1290,0,780,1291
246,Haiti,,18.9712,-72.2852,773,9667,860,3192,0,860,3294,0,860
247,Holy See,,41.9029,12.4534,0,29,0,10198,10433,0,10853,10449,0
248,Honduras,,15.2,-86.2419,10433,62,11071,29,39679,11088,29,40083,11095
249,Hungary,,47.1625,19.5033,39186,7108,48495,62,39,48546,62,39,48578
250,Iceland,Andaman and Nicobar Islands,64.9631,-19.0208,37,56,229,7125,129,229,7133,129,229
251,India,Andhra Pradesh,11.225999,92.968178,129,1049,129,56,14500,129,56,14505,129
252,India,Arunachal Pradesh,15.9129,79.74,14495,1400,14733,1057,282,14733,1064,282,14733
253,India,Assam,27.768456,96.384277,282,318,296,1420,6176,296,1443,6189,296
254,India,Bihar,26.357149,92.830441,6165,3375,8035,323,12098,8035,328,12114,8035
255,India,Chandigarh,25.679658,85.60484,12096,2,12302,3447,1080,12303,3517,1084,12303
256,India,Chhattisgarh,30.733839,76.768278,1079,10557,1181,2,13606,1181,2,13627,1181
257,India,Dadra and Nagar Haveli and Daman and Diu,21.264705,82.035366,13601,739,14146,10625,4,14146,10707,4,14146
258,India,Delhi,20.194742,73.080901,4,4309,4,744,25127,4,749,25240,4
259,India,Goa,28.646519,77.10898,25108,2911,26521,4329,3528,26521,4350,3539,26522
260,India,Gujarat,15.359682,74.057396,3522,936,4013,2934,10127,4013,2964,10137,4013
261,India,Haryana,22.694884,71.590923,10119,1884,11043,952,10067,11043,961,10083,11043
262,India,Himachal Pradesh,29.20004,76.332824,10064,1030,10714,1900,3880,10714,1912,3887,10714
263,India,Jammu and Kashmir,31.927213,77.233081,3877,12096,4213,1040,4533,4213,1048,4547,4213
264,India,Jharkhand,33.75943,76.612638,4530,3095,4785,12124,5153,4785,12149,5184,4785
265,India,Karnataka,23.654536,85.557631,5144,127,5331,3209,38358,5331,3347,38389,5331
266,India,Kerala,14.70518,76.166436,38340,0,40308,127,49116,40308,128,50252,40308
267,India,Ladakh,10.450898,76.405749,48035,3618,71558,0,221,71565,0,222,71569
268,India,Lakshadweep,34.1526,77.5771,219,49580,231,3670,51,231,3726,51,231
269,India,Madhya Pradesh,13.6999972,72.1833326,51,356,52,49825,10535,52,50151,10540,52
270,India,Maharashtra,23.541513,78.289633,10533,139,10776,363,141594,10776,365,141701,10777
271,India,Manipur,19.449759,76.108221,141533,8,148417,141,2009,148418,143,2012,148419
272,India,Meghalaya,24.738975,93.882541,2002,79,2149,8,1485,2149,9,1489,2149
273,India,Mizoram,25.536934,91.278882,1484,1876,1624,80,554,1624,84,564,1624
274,India,Nagaland,23.309381,92.83822,546,633,726,1887,703,726,1894,703,726
275,India,Odisha,26.06702,94.470302,702,5349,782,635,8467,782,639,8469,782
276,India,Puducherry,20.505428,84.418059,8462,2700,9205,5412,1881,9205,5456,1883,9205
277,India,Punjab,11.882658,78.86498,1881,128,1975,2723,16662,1975,2739,16702,1975
278,India,Rajasthan,30.841465,75.40879,16645,12135,19289,129,8967,19289,129,8981,19289
279,India,Sikkim,26.583423,73.847973,8964,1546,9653,12188,409,9653,12236,410,9653
280,India,Tamil Nadu,27.571671,88.472712,409,385,499,1559,36825,499,1571,36905,499
281,India,Telangana,11.006091,78.400624,36784,0,38049,387,4036,38049,389,4047,38049
282,India,Tripura,18.1124,79.0193,4029,8379,4111,0,829,4111,0,832,4111
283,India,Unknown,23.746783,91.743565,829,1515,940,8441,0,940,8514,0,940
284,India,Uttar Pradesh,,,0,9738,0,1549,22917,0,1589,22940,0
285,India,Uttarakhand,26.925425,80.560982,22915,22329,23633,9863,7423,23634,9975,7433,23634
286,India,West Bengal,30.156447,79.197608,7419,55337,7752,23296,19846,7753,24645,19959,7753
287,India,,23.814082,87.979803,19773,12824,21532,55830,144116,21532,56360,144150,21532
288,Indonesia,,-0.7893,113.9213,144096,2248,160619,12865,131802,160673,12911,131972,160711
289,Iran,,32.427908,53.688046,131639,3356,144688,2299,24194,144704,2397,24225,144722
290,Iraq,,33.223191,43.679291,24163,1218,25373,3529,5952,25375,3771,6035,25375
291,Ireland,,53.1424,-7.6921,5912,256,8293,1254,8259,8339,1291,8290,8388
292,Israel,Abruzzo,31.046051,34.851612,8244,479,12047,268,2655,12079,281,2680,12111
293,Italy,Basilicata,42.35122196,13.39843823,2640,2864,3828,499,639,3844,520,645,3844
294,Italy,Calabria,40.63947052,15.80514834,635,7808,1011,2994,1656,1011,3209,1687,1011
295,Italy,Campania,38.90597598,16.59440194,1625,1669,3205,8066,8543,3232,8454,8641,3232
296,Italy,Emilia-Romagna,40.83956555,14.25084984,8471,3792,11538,1805,14320,11589,1950,14448,11589
297,Italy,Friuli Venezia Giulia,44.49436681,11.3417208,14231,2898,18934,3972,4261,19011,4218,4301,19011
298,Italy,Lazio,45.6494354,13.76813649,4225,25203,5844,2947,9342,5875,3046,9438,5875
299,Italy,Liguria,41.89277044,12.48366722,9275,1581,12537,25498,4644,12577,25903,4685,12577
300,Italy,Lombardia,44.41149315,8.9326992,4587,192,5767,1647,35286,5797,1723,35610,5797
301,Italy,Marche,45.46679409,9.190347404,35095,742,44688,202,3269,44922,218,3298,44922
302,Italy,Molise,43.61675973,13.5188753,3249,952,4282,762,512,4315,783,512,4315
303,Italy,P.A. Bolzano,41.55774754,14.65916051,512,7960,705,989,1314,707,1029,1324,707
304,Italy,P.A. Trento,46.49933453,11.35662422,1307,2481,1599,8088,1429,1602,8237,1438,1602
305,Italy,Piemonte,46.06893511,11.12123097,1423,751,1632,2573,12119,1635,2740,12207,1635
306,Italy,Puglia,45.0732745,7.680687483,12059,2440,13783,786,7001,13805,850,7032,13805
307,Italy,Sardegna,41.12559576,16.86736689,6987,3700,9419,2593,1739,9453,2805,1753,9453
308,Italy,Sicilia,39.21531192,9.110616306,1729,625,2866,3789,7634,2874,3905,7765,2874
309,Italy,Toscana,38.11569725,13.3623567,7514,381,12442,643,7617,12485,672,7755,12485
310,Italy,Umbria,43.76923077,11.25588885,7562,6629,11352,388,1516,11391,392,1540,11391
311,Italy,Valle d'Aosta,43.10675841,12.38824698,1504,303,2339,7114,491,2360,7593,492,2360
312,Italy,Veneto,45.73750286,7.320149366,488,216,564,306,12487,564,315,12621,564
313,Italy,,45.43490485,12.33845213,12395,1,16307,248,2486,16368,288,2506,16368
314,Jamaica,Aichi,18.1096,-77.2975,2476,8,3461,1,1161,3464,1,1161,3465
