Country,Province,Lat,Long,Confirmed_2023,Confirmed_2021,Confirmed_2022
US,Puerto Rico,17.998457,-66.056546,152938,21682,73236
US,Puerto Rico,18.445533,-66.560531,215245,15896,45371
US,Puerto Rico,18.201592,-66.30963,111207,58,45
US,Puerto Rico,18.34946,-66.168435,42,35982,138453
US,Puerto Rico,18.040993,-67.154391,476091,993,1009
US,Puerto Rico,18.211615,-66.050779,1745,988,1211
US,Puerto Rico,18.418578,-66.860206,36466,590,611
US,Puerto Rico,18.328802,-65.887612,13242,513,1372
US,Puerto Rico,18.374986,-65.956831,11589,182,356
US,Puerto Rico,18.437269,-66.143306,1572,2046,3467
US,Puerto Rico,18.102851,-66.14914,84840,264,630
US,Puerto Rico,18.251818,-65.666416,3477,147,160
US,Puerto Rico,18.28885,-66.516475,1906,171,190
US,Puerto Rico,18.173559,-66.161179,10467,373,1458
US,Puerto Rico,18.097597,-66.36014,3086,964,2035
US,Puerto Rico,18.224687,-66.221622,5908,1299,1642
US,Puerto Rico,18.304264,-66.327738,9448,8888,12667
US,Puerto Rico,18.31586,-65.28813,2648994,68149,68317
US,Recovered,18.436115,-66.278669,70988,1021,1222
US,Rhode Island,18.318373,-65.666866,4846,364,1186
US,Rhode Island,18.373715,-66.560488,8541,684,1625
US,Rhode Island,17.982429,-66.919643,3897,935,959
US,Rhode Island,18.007516,-66.133908,2530,157,589
US,Rhode Island,18.039942,-66.79186,40529,359,796
US,Rhode Island,18.345114,-66.114523,3330,46,79
US,South Carolina,18.266461,-65.979705,2615,75,122
US,South Carolina,18.410928,-66.796326,554,18,30
US,South Carolina,18.134532,-67.113972,582,508,2342
US,South Carolina,18.145211,-65.810174,6292,863,1045
US,South Carolina,18.44981,-67.005093,5035,1520,3121
US,South Carolina,18.211446,-66.58878,66213,224,266
US,South Carolina,18.050764,-66.494581,5986,853,1325
US,South Carolina,18.223793,-65.909109,13337,312,594
US,South Carolina,18.011661,-67.040585,3576,1,1
US,South Carolina,18.269035,-66.867236,1522,980,12881
US,South Carolina,18.23679,-66.98362,1521800,230,981
US,South Carolina,18.187527,-65.869468,2709,1306,1818
US,South Carolina,18.425688,-65.89943,8095,3249,2025
US,South Carolina,18.342114,-65.725097,6486,263708,7082
US,South Carolina,18.420473,-66.490461,7835,4600,796911
US,South Carolina,18.171795,-66.942126,947893,94549,14527
US,South Carolina,18.017889,-65.922235,17051,52000,344411
US,South Carolina,18.2013,-67.1452,417510,28803,162694
US,South Carolina,18.377805,-67.080952,203303,32668,107213
US,South Carolina,18.316963,-66.420383,129670,475253,101997
US,South Carolina,18.230637,-65.753897,119464,15042,1484791
US,South Carolina,18.288019,-66.252703,1865441,8825,23118
US,South Carolina,18.215046,-66.433604,25617,18844,36229
US,South Carolina,,,42966,33637,57801
US,South Carolina,18.03174,-66.012242,76382,4888,93303
US,South Carolina,18.059645,-66.721572,109197,29590,16596
US,South Carolina,18.059498,-66.613748,18858,67608,105097
US,South Carolina,18.439692,-66.926113,122351,1235,268272
US,South Carolina,18.335443,-67.23174,328889,1964,2574
US,South Carolina,18.346329,-65.813742,2793,35109,5186
US,South Carolina,18.08282,-66.943758,5671,14217,90030
US,South Carolina,18.010387,-66.256592,103120,24836,47166
US,South Carolina,18.111484,-67.038581,58036,34072,101572
US,South Carolina,18.386933,-66.061128,117678,31603,91143
US,South Carolina,18.147987,-65.976392,107583,40621,91167
US,South Carolina,18.328646,-66.971214,107970,5929,102281
US,South Carolina,17.994525,-66.388913,124934,23916,17926
US,South Carolina,18.362406,-66.246616,21853,34605,59295
US,South Carolina,18.431446,-66.213553,72879,2471,89870
US,South Carolina,18.336159,-65.998884,109727,67850,8438
US,South Carolina,18.271214,-66.702984,10345,17477,235578
US,South Carolina,18.409346,-66.33725,294839,44552,59891
US,South Carolina,18.428262,-66.397924,67085,0,108758
US,South Carolina,18.123276,-65.440971,127031,138870,0
US,South Carolina,18.127951,-66.473115,0,1139,434082
US,South Carolina,18.070399,-65.896289,567260,1150,1797
US,South Dakota,18.080374,-66.858814,1960,823,3059
US,South Dakota,,,3469,7107,6688
US,South Dakota,,,8982,17849,20089
US,Tennessee,,,25375,169321,74793
US,Texas,33.61643847,-100.2558057,95173,22563,570556
US,Texas,31.84947612,-103.5818571,1161687,212007,71815
US,Virgin Islands,,,87941,12056,720538
US,Virginia,,,1264122,23108,966473
US,West Virginia,,,1112018,732022,169159
US,West Virginia,48.60182783,-122.96745,631111,610,2480736
US,Wisconsin,,,4579980,27,6081
US,Sevastopol*,,,34658,165930,2611
US,,,,11971,712,823282
Winter Olympics 2022,,39.9042,116.4074,3385836,5840,712
Australia,Queensland,-12.4634,130.8456,712,88,13668
Canada,Grand Princess,,,15690,172218,6862
China,Gansu,26.0789,117.9874,15760,213378,419927
China,Jiangsu,44.0935,113.9448,655540,139471,551620
China,Jilin,27.614,115.7221,1040463,46515,386358
China,Amazonas,29.1832,120.0934,515645,5277,121945
Denmark,,71.7069,-42.6043,201785,1320,13710
United Kingdom,Alabama,16.742498,-62.187366,17186,28406,8026
US,Arkansas,58.62403337,-156.2140589,10189,9482,242123
US,Arkansas,63.67264044,-150.0076108,611891,124652,66241
US,Arkansas,59.09893571,-135.4679843,74034,49,424340
US,Arkansas,,,498157,36676,54147
US,Arkansas,56.3202004,-132.0583731,68750,13166,277700
US,Florida,37.66954283,-106.9281698,1438205,16926,47631
US,Illinois,43.46665742,-114.8065892,97526,8620,46382
US,Minnesota,,,77910,6091,55795
US,Minnesota,47.90504893,-90.52629546,198608,5890,48123
US,Nebraska,47.04581276,-110.2660688,224826,38,21911
US,Nebraska,47.1182463,-108.2508876,41969,9037,12826
US,Nebraska,46.2097322,-107.2666516,79441,190,76602
US,Nebraska,41.56896142,-101.6959559,486659,16,1895
US,Nebraska,41.11168186,-102.3333331,5382,995,100
US,Nebraska,40.52993007,-100.3924658,3349,2636045,4250
US,Nebraska,41.61703149,-102.3313973,12104,9571,454
US,Nebraska,41.91428955,-98.99111827,3415,3800,9980940
US,Nebraska,41.56742671,-98.52150266,38266999,228410,41798
US,Nevada,40.17584531,-97.142601,48980,237993,10170
US,Nevada,41.19774275,-103.7148131,12586,324937,936844
US,New Hampshire,41.56797682,-101.0599362,1808820,96788,1012216
US,New Hampshire,40.13141096,-96.23705437,4969952,41241,1323008
US,New Jersey,41.91358968,-100.5556632,6611783,13559,327754
US,North Carolina,,,1403292,36417,241542
US,Ohio,47.02366884,-103.3762965,1093604,136577,47165
US,Tennessee,43.96278565,-100.6940008,297629,11997,138262
US,Texas,35.83809685,-100.813175,796043,106789,477279
Vanuatu,Jersey,-15.3767,166.9592,2850605,393185,99761
China,Guangdong,35.7518,104.2861,698700,71993,440381
China,Guizhou,23.8298,108.7881,3751392,19879,1372712
China,Hainan,26.8154,106.8748,7789135,132356,277196
China,Macau,41.2956,122.6085,1720611,29200,73669
China,Zhejiang,24.974,101.487,479317,24792,649020
MS Zaandam,,,,1931974,42034,223747
US,Arkansas,52.3233,-174.1596,945959,2102,117496
US,Florida,39.20278823,-106.3555697,1156714,54930,287974
US,Florida,,,873157,139447,6810
US,Kansas,37.99978709,-101.7921066,0,127,143997
US,Nebraska,48.56084317,-111.024307,171048,138236,1240862
US,Nebraska,46.86048047,-105.379384,5548487,13738,6299
US,Nebraska,42.43018907,-99.92904055,19644,2452,628589
US,Nevada,41.91586243,-101.1354293,1204300,6348,32448
US,New Jersey,42.42252217,-99.44832069,38210,10015,6484
US,New Jersey,40.52418865,-97.14085859,8947,27,39779
US,New Jersey,41.56730777,-98.98197724,72163,122974,26213
US,New Mexico,37.78436681,-117.6319999,33904,325278,27
US,Ohio,47.45785838,-98.23850925,29,5754,379402
US,Ohio,47.45611548,-97.72728747,465915,4946,1256415
US,Pennsylvania,44.72698162,-120.0281427,2185816,882612,27059
US,Texas,32.74363984,-101.4316509,207974,16719,7733
US,Texas,35.84008013,-102.6029022,10747,216251,2077321
US,Texas,31.30375559,-100.982439,2339069,252219,55343
US,Texas,26.92601662,-97.66413984,66890,19799,620915
US,Virginia,,,746100,280507,727177
Bhutan,,27.5142,90.4336,851395,3378,65965
China,Liaoning,43.6661,126.1923,99351,625954,1008466
China,Shandong,35.1917,108.8701,1177758,51135,10695
China,Tianjin,30.6171,102.7103,11591,245772,1450927
China,Tibet,39.3054,117.323,2007233,262611,181182
China,Yunnan,41.1129,85.2401,259084,55470,832801
US,Arkansas,55.32222414,-161.9722021,1277576,121227,774340
US,Arkansas,64.90320724,-164.0353804,1056618,115241,228940
US,Arkansas,57.13978948,-132.9540995,312652,920373,341459
US,Arkansas,59.8909808,-140.3601451,479420,765924,352746
US,Colorado,,,442571,9525,3008370
US,Idaho,33.56543317,-82.88136816,4072074,0,5249612
US,Illinois,,,6828520,242571,22207
US,Kansas,38.4808095,-101.8061079,29412,1935636,10417
US,Montana,40.47945588,-94.42328751,11415,28206,794089
US,Nebraska,47.27545948,-107.0002351,1054919,13445,6687991
US,Nebraska,42.8997274,-98.76486568,8136679,4219,125807
US,New York,34.34274529,-104.4117842,139923,11929,84839
US,Ohio,48.79094471,-102.5182117,96783,329866,141749
US,Ohio,48.8149387,-103.4873611,238964,38164,32201
US,Pennsylvania,45.41501554,-120.6827834,35986,166770,1055132
US,Tennessee,45.58015551,-103.4958629,1336564,308852,129500
US,Tennessee,44.02351092,-98.0909816,175521,5900,605126
US,Tennessee,44.41381872,-100.7349153,785443,818935,956528
US,Tennessee,44.71571812,-100.1278092,1315492,287108,32510
US,Texas,31.86942909,-101.5207776,44319,33276,2749534
US,Texas,35.83764858,-100.2703577,3594444,0,682215
US,Texas,33.18104136,-100.7780939,841357,586751,85108
US,Vermont,30.22429013,-102.0766732,108034,91281,0
US,Virginia,44.72736416,-71.73579864,0,553216,1711985
US,Virginia,44.7975824,-73.29679772,2128123,751270,345205
Canada,Ontario,70.2998,-83.1076,449397,1231429,1642997
China,Inner Mongolia,27.6104,111.7088,2118622,596193,4262994
India,Delhi,20.194742,73.080901,6720181,93532,6195403
US,Arkansas,60.3886,-162.8905196,7561213,428510,2093891
US,Colorado,37.93899289,-118.8872409,2465107,35723,811840
US,Diamond Princess,39.85646523,-105.5252597,1687668,10982,1390053
US,Florida,38.43260896,-102.7392145,4764432,24265,110499
US,Georgia,31.62221166,-84.97713865,635207,191407,37137
US,Idaho,31.86728114,-85.01773177,196436,174141,112976
US,Illinois,39.16840183,-90.66330078,615218,50742,597150
US,Michigan,,,2405365,164964,549175
US,Nebraska,41.70759415,-98.06737183,2105096,60881,158419
US,Nebraska,40.17638677,-101.6876522,564986,481959,517619
US,Nebraska,40.17636348,-98.95299073,2322932,42317,151492
US,Nebraska,41.91528587,-101.740701,652655,6634,1254634
US,New Jersey,41.22045983,-98.97588642,4059723,29764,147083
US,New Jersey,40.17626377,-97.59504381,702746,22033,17109
US,New York,35.85751555,-103.8220938,99659,198886,101608
US,North Carolina,43.66146647,-74.49721957,289808,92359,64329
US,Ohio,46.94022281,-103.8465421,240502,31478,502219
US,Ohio,47.11530482,-101.3406158,1700680,94766,312157
US,Pennsylvania,45.37160076,-120.2048869,1593966,120917,89125
US,Tennessee,43.58078848,-100.7563186,498722,29188,378368
US,Virginia,38.35799465,-79.56124594,1776196,7290,396593
US,West Virginia,,,1566459,258680,92680
Japan,Shizuoka,35.07076,132.554064,427803,12915,16574
Japan,Toyama,35.359069,133.863619,50020,16767,659993
United Kingdom,Alabama,18.2206,-63.0686,2639526,143,94649
US,Kentucky,39.78516566,-98.78566062,152758,492,107109
US,Kentucky,38.91686134,-101.7638876,1847531,11208,1934
